stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
14,1,4.0,14.450569699998596,,14.435579199998756,14.450569699998596,14.951486599995405,14.951486599995405,14.951486599995405,15.251701500004856,15.502046299996437,left,-4.0,1,1,0.5460854999982985,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
15,1,3.0,15.5176277999999,,15.50211319999653,15.5176277999999,16.00215780000144,16.00215780000144,16.019499799993355,16.302793900002143,16.504418199998327,right,3.0,1,1,0.499166099994909,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
16,1,3.0,16.51974170000176,,16.504485400000704,16.51974170000176,17.003554399998393,17.003554399998393,17.020103799994104,17.303605199995218,17.372193200004403,left,-3.0,1,1,0.3579420000023674,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
17,1,3.0,17.386966100006248,,17.372262899996713,17.386966100006248,17.88775720000558,17.88775720000558,17.88775720000558,18.187969799997518,18.689702500007115,left,-3.0,1,1,0.7902199000091059,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
18,1,2.0,18.705279300003895,,18.68976730000577,18.705279300003895,19.189704899996286,19.189704899996286,19.205859900001087,19.489930199997616,19.590879499999573,right,2.0,1,1,0.3990800000028685,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
19,1,2.0,19.606328299996676,,19.590947100004996,19.606328299996676,20.089941400001408,20.089941400001408,20.10711280000396,20.390360999997938,20.75877080000646,right,2.0,1,1,0.6592555000097491,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
20,1,2.0,20.774038999996264,,20.758837200002745,20.774038999996264,21.25832320000336,21.25832320000336,21.275175400005537,21.558405100004165,21.710075700000743,right,2.0,1,1,0.4475382999953581,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
21,1,1.0,21.725290100002894,,21.71014589999686,21.725290100002894,22.209339099994395,22.209339099994395,22.225901700003305,22.50950539999758,22.56070469999395,right,1.0,1,1,0.3365823999920394,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
22,1,1.0,22.57635879999725,,22.56076930000563,22.57635879999725,23.060550900001545,23.060550900001545,23.077262699996936,23.3603296999936,23.59531230000721,right,1.0,1,1,0.5185113999905298,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
23,1,1.0,23.610657700002776,,23.595375999997486,23.610657700002776,24.09455419999722,24.09455419999722,24.111500300001353,24.394497400004184,24.696453600001405,right,1.0,1,1,0.5878231999959098,063756,001,2024-09-09_11h40.03.343,adaptive_staircase,2024.1.5,None,2024-09-09 11h40.08.568620 +0530,
